,代码,名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
98,000682,东方电子,6.29,0.57,9.97,436606,267498276.0,9.79,6.29,5.73,5.8,5.72,0.9,3.75,31.93,2.34,8433172874,7320747301
99,600644,乐山电力,8.17,0.74,9.96,604546,491776800.0,4.98,8.17,7.8,8.0,7.43,1.38,11.23,26.25,2.62,4398733384,4398733384
100,000767,晋控电力,4.31,0.39,9.95,1991430,796229760.0,15.82,4.31,3.69,3.94,3.92,1.92,6.84,499.12,1.69,13261620964,12551765054
101,000899,赣能股份,6.3,0.57,9.95,415243,253303161.0,8.73,6.3,5.8,5.81,5.73,1.62,4.26,40.25,1.23,6146769888,6146752154
102,300343,联创股份,20.56,1.86,9.95,1467917,2934452368.0,9.3,20.93,19.19,19.49,18.7,1.08,15.63,251.7,31.05,23778586706,19305865721
103,603159,上海亚虹,20.19,1.82,9.91,107083,212957720.0,11.76,20.21,18.05,18.37,18.37,2.07,7.65,69.49,6.34,2826600000,2826600000
104,300365,恒华科技,14.2,1.28,9.91,314180,434960816.0,12.54,14.42,12.8,12.89,12.92,1.19,9.02,102.48,3.97,8517947660,4944118966
105,688276,百克生物,97.98,8.83,9.9,12489,118445208.0,11.1,99.51,89.61,89.61,89.15,1.89,3.78,146.17,12.21,40450131590,3237734991
106,688179,阿拉丁,81.3,7.31,9.88,15321,121269872.0,10.79,82.07,74.09,74.95,73.99,1.43,6.39,99.37,10.14,8205885420,1948901649
107,002581,未名医药,15.6,1.4,9.86,259509,393340080.0,10.0,15.6,14.18,14.18,14.2,3.01,6.47,37.31,4.56,10291875142,6252342112
108,000425,徐工机械,6.99,0.62,9.73,2685637,1863813040.0,4.71,7.01,6.71,6.71,6.37,2.01,3.43,7.2,1.58,54757342326,54668153407
109,300164,通源石油,5.19,0.46,9.73,747240,375708240.0,15.22,5.38,4.66,4.75,4.73,1.15,16.74,74.11,2.9,2665222200,2316404859
110,300262,巴安水务,4.29,0.38,9.72,375133,158531591.0,15.86,4.55,3.93,3.95,3.91,2.1,8.0,-53.51,1.57,2873300426,2012104329
111,600892,大晟文化,3.53,0.31,9.63,43363,14808825.0,8.07,3.53,3.27,3.27,3.22,1.86,0.8,123.64,7.17,1974908584,1907469162
112,688033,天宜上佳,21.7,1.9,9.6,92229,196542005.0,12.32,22.25,19.81,20.2,19.8,1.4,3.02,86.32,3.96,9737596980,6634095964
113,300430,诚益通,10.19,0.89,9.57,63774,63214656.0,9.35,10.29,9.42,9.42,9.3,1.46,2.48,28.36,1.54,2771770650,2620799819
114,300499,高澜股份,12.6,1.1,9.57,106400,131519777.0,10.0,12.77,11.62,11.64,11.5,0.82,4.45,104.63,4.26,3519291447,3013279265
115,603969,银龙股份,4.37,0.38,9.52,311419,131855959.0,10.28,4.39,3.98,3.99,3.99,0.99,3.7,17.32,1.83,3675170000,3675170000
116,603315,福鞍股份,23.66,2.02,9.33,51907,121464939.0,9.15,23.8,21.82,21.83,21.64,0.9,2.36,91.17,5.16,7264241406,5204038318
117,300204,舒泰神,12.47,1.06,9.29,85315,103389751.0,8.5,12.49,11.52,11.52,11.41,1.19,1.83,-49.62,3.98,5936150764,5824671383
118,603665,康隆达,19.42,1.65,9.29,95338,178527533.0,11.48,19.54,17.5,17.71,17.77,1.24,6.02,75.01,2.85,3073070865,3073070865
119,300693,盛弘股份,36.99,3.14,9.28,174407,638082096.0,13.86,38.31,33.62,33.62,33.85,1.53,12.4,75.85,9.68,7593140486,5204040982
120,300769,德方纳米,485.0,41.05,9.25,24670,1186019280.0,11.19,499.77,450.1,450.1,443.95,1.16,4.53,160.15,19.14,43274940770,26410747750
121,688296,和达科技,47.36,3.99,9.2,7972,37314032.0,11.57,48.02,43.0,43.01,43.37,1.24,3.27,117.38,7.9,5086140058,1156154309
122,300339,润和软件,30.1,2.53,9.18,901566,2650104992.0,7.73,30.23,28.1,28.21,27.57,0.75,11.69,176.7,8.08,23971966314,23221043584
123,688315,诺禾致源,51.88,4.35,9.15,17778,91552101.0,12.29,52.94,47.1,47.5,47.53,1.09,5.33,127.25,12.62,20762376000,1729979741
124,002141,贤丰控股,5.77,0.48,9.07,326947,184046537.0,8.13,5.8,5.37,5.37,5.29,0.97,2.88,370.17,8.32,6546968115,6546968115
125,603396,金辰股份,124.11,10.31,9.06,39553,474726800.0,8.54,125.17,115.45,118.61,113.8,1.06,3.74,134.32,10.35,14396745355,13128273143
126,002472,双环传动,23.49,1.94,9.0,279684,651341504.0,9.28,23.71,21.71,21.72,21.55,1.15,4.26,71.27,4.54,18267976271,15405625905
127,002411,延安必康,14.91,1.23,8.99,837005,1219759744.0,7.97,15.0,13.91,14.12,13.68,0.9,5.46,37.63,2.58,22846353083,22846353083
128,002455,百川股份,15.52,1.28,8.99,475028,720576400.0,8.78,15.65,14.4,14.71,14.24,0.86,10.55,53.89,5.82,8775245673,6986022830
129,000531,穗恒运Ａ,9.0,0.74,8.96,338947,302880496.0,9.56,9.09,8.3,8.3,8.26,2.67,4.95,14.06,1.21,6165745380,6165745380
130,688357,建龙微纳,137.27,11.27,8.94,7602,102340779.0,13.1,139.5,123.0,123.0,126.0,1.2,2.89,38.97,7.63,7936951400,3605671090
131,600243,青海华鼎,5.17,0.42,8.84,206147,104163797.0,8.21,5.2,4.81,4.82,4.75,1.04,4.7,-64.9,2.0,2268854500,2268854500
132,300696,爱乐达,47.2,3.82,8.81,57272,266026405.0,8.69,47.5,43.73,44.98,43.38,1.07,4.01,53.63,7.43,11530822082,6737194754
133,600312,平高电气,10.01,0.81,8.8,726468,711020048.0,11.41,10.12,9.07,9.11,9.2,1.29,5.35,120.9,1.49,13582782303,13582782303
134,603693,江苏新能,27.38,2.2,8.74,381045,937212368.0,18.03,27.49,22.95,23.5,25.18,1.24,6.17,28.18,3.48,16920840000,16920840000
135,601619,嘉泽新能,6.1,0.49,8.73,2031775,1199800608.0,11.41,6.16,5.52,5.7,5.61,1.03,8.86,28.42,3.3,14405488843,13984771843
136,300381,溢多利,10.84,0.87,8.73,155788,165260926.0,9.43,10.95,10.01,10.01,9.97,0.99,3.32,43.95,1.77,5312277196,5080843511
137,300736,百邦科技,11.63,0.93,8.69,18480,21165785.0,11.12,11.81,10.62,10.64,10.7,1.49,1.77,135.44,9.37,1515079177,1214688942
138,600577,精达股份,7.13,0.57,8.69,710282,497641200.0,8.84,7.21,6.63,6.63,6.56,1.15,3.59,25.79,3.51,14120974312,14120974312
