,code,market,decimal,prePrice,details
89,688103,1,2,53.73,"09:45:02,52.56,2,1,2"
90,688103,1,2,53.73,"09:45:17,52.38,2,1,1"
91,688103,1,2,53.73,"09:45:23,52.57,2,1,2"
92,688103,1,2,53.73,"09:45:38,52.38,3,2,1"
93,688103,1,2,53.73,"09:45:56,52.57,2,1,2"
94,688103,1,2,53.73,"09:46:17,52.58,2,1,2"
95,688103,1,2,53.73,"09:46:44,52.58,2,1,2"
96,688103,1,2,53.73,"09:47:11,52.59,2,1,2"
97,688103,1,2,53.73,"09:47:32,52.66,3,2,2"
98,688103,1,2,53.73,"09:47:47,52.66,1,1,2"
99,688103,1,2,53.73,"09:48:02,52.66,1,1,1"
100,688103,1,2,53.73,"09:48:11,52.40,4,2,1"
101,688103,1,2,53.73,"09:48:14,52.39,6,3,1"
102,688103,1,2,53.73,"09:48:17,52.38,4,2,1"
103,688103,1,2,53.73,"09:48:20,52.38,4,1,1"
104,688103,1,2,53.73,"09:48:23,52.38,4,1,1"
105,688103,1,2,53.73,"09:48:26,52.38,2,1,1"
106,688103,1,2,53.73,"09:48:32,52.57,2,1,2"
107,688103,1,2,53.73,"09:48:59,52.57,2,1,2"
108,688103,1,2,53.73,"09:49:26,52.57,2,1,2"
109,688103,1,2,53.73,"09:49:50,52.57,2,1,2"
110,688103,1,2,53.73,"09:50:11,52.38,9,5,1"
111,688103,1,2,53.73,"09:50:14,52.33,4,2,1"
112,688103,1,2,53.73,"09:50:35,52.34,2,1,1"
113,688103,1,2,53.73,"09:51:17,52.30,6,3,1"
114,688103,1,2,53.73,"09:51:20,52.31,20,11,2"
115,688103,1,2,53.73,"09:51:26,52.34,6,2,2"
116,688103,1,2,53.73,"09:51:53,52.34,2,1,1"
117,688103,1,2,53.73,"09:52:11,52.34,2,1,2"
118,688103,1,2,53.73,"09:52:14,52.20,8,1,1"
119,688103,1,2,53.73,"09:52:20,52.18,4,2,1"
120,688103,1,2,53.73,"09:52:26,52.17,12,2,1"
121,688103,1,2,53.73,"09:52:29,52.16,14,7,1"
122,688103,1,2,53.73,"09:52:32,52.05,7,3,1"
123,688103,1,2,53.73,"09:53:02,52.06,2,1,1"
124,688103,1,2,53.73,"09:53:11,52.06,3,2,1"
125,688103,1,2,53.73,"09:53:20,52.05,6,4,1"
126,688103,1,2,53.73,"09:53:29,51.50,37,12,1"
127,688103,1,2,53.73,"09:53:32,52.05,3,1,2"
128,688103,1,2,53.73,"09:55:17,52.06,16,7,2"
129,688103,1,2,53.73,"09:55:32,52.06,2,1,1"
130,688103,1,2,53.73,"09:55:41,52.06,3,2,1"
131,688103,1,2,53.73,"09:56:20,52.15,7,5,2"
132,688103,1,2,53.73,"09:56:32,52.05,20,3,1"
133,688103,1,2,53.73,"09:56:35,52.18,2,1,2"
134,688103,1,2,53.73,"09:56:41,52.06,12,2,1"
135,688103,1,2,53.73,"09:56:44,52.05,6,4,1"
136,688103,1,2,53.73,"09:56:53,52.05,5,2,2"
137,688103,1,2,53.73,"09:58:23,51.97,2,1,2"
138,688103,1,2,53.73,"09:58:50,51.97,2,1,2"
139,688103,1,2,53.73,"09:59:17,51.97,2,1,2"
140,688103,1,2,53.73,"09:59:41,51.99,2,1,2"
141,688103,1,2,53.73,"10:00:02,52.00,2,3,2"
142,688103,1,2,53.73,"10:00:14,52.05,2,1,2"
143,688103,1,2,53.73,"10:00:29,52.16,2,2,2"
144,688103,1,2,53.73,"10:00:56,52.00,4,2,1"
145,688103,1,2,53.73,"10:01:23,52.00,5,4,2"
